run_started_at,episode,total_steps,episode_reward,duration_steps,elapsed_seconds,terminal_reward
2026-04-09T13:08:27,1,400,-1.4499999713152647,400,11.253,-0.7
2026-04-09T13:08:27,2,800,3.1699999254196882,400,8.019,-0.7
2026-04-09T13:08:27,3,1137,-4.339999925345182,337,6.76,-1.0
2026-04-09T13:08:27,4,1233,1.5699999872595072,96,1.937,1.0
2026-04-09T13:08:27,5,1454,-1.5399999879300594,221,4.439,-1.0
2026-04-09T13:08:27,6,1767,3.699999939650297,313,6.278,1.0
2026-04-09T13:08:27,7,2033,-1.8699999805539846,266,5.338,-1.0
2026-04-09T13:08:27,8,2373,3.489999944344163,340,6.82,1.0
2026-04-09T13:08:27,9,2744,-4.5999999195337296,371,7.439,-1.0
2026-04-09T13:08:27,10,3144,1.2699999678879976,400,8.019,-0.7
2026-04-09T13:08:27,11,3199,1.479999989271164,55,1.119,1.0
2026-04-09T13:08:27,12,3599,-4.009999914094806,400,8.019,-0.7
2026-04-09T13:08:27,13,3897,-0.330000014975667,298,5.979,-1.0
2026-04-09T13:08:27,14,3898,1.0,1,0.039,1.0
2026-04-09T13:08:27,15,4262,-4.469999922439456,364,7.299,-1.0
2026-04-09T13:08:27,16,4396,2.2099999729543924,134,2.7,1.0
2026-04-09T13:08:27,17,4593,-0.5000000111758709,197,3.958,-1.0
2026-04-09T13:08:27,18,4993,-2.1699999552220106,400,8.019,-0.7
2026-04-09T13:08:27,19,5393,-1.8899999614804983,400,8.02,-0.7
2026-04-09T13:08:27,20,5679,1.2699999939650297,286,5.738,1.0
2026-04-09T13:08:27,21,5766,1.7799999825656414,87,1.762,1.0
2026-04-09T13:08:27,22,6166,-1.249999975785613,400,8.022,-0.7
2026-04-09T13:08:27,23,6566,-3.429999927058816,400,8.015,-0.7
2026-04-09T13:08:27,24,6675,2.0599999763071537,109,2.198,1.0
2026-04-09T13:08:27,25,7075,-4.289999907836318,400,8.019,-0.7
2026-04-09T13:08:27,26,7475,-2.7499999422580004,400,8.019,-0.7
2026-04-09T13:08:27,27,7875,-2.209999954327941,400,8.02,-0.7
2026-04-09T13:08:27,28,8275,-1.7699999641627073,400,8.017,-0.7
2026-04-09T13:08:27,29,8675,-1.3099999744445086,400,8.02,-0.7
2026-04-09T13:08:27,30,9018,-2.2799999713897705,343,6.883,-1.0
2026-04-09T13:08:27,31,9217,-0.4400000125169754,199,4.005,-1.0
