run_started_at,episode,total_steps,episode_reward,duration_steps,elapsed_seconds,terminal_reward
2026-04-09T14:59:04,1,500,-5.409999890252948,500,9.996,-0.5
2026-04-09T14:59:04,2,957,-4.559999920427799,457,9.665,-1.0
2026-04-09T14:59:04,3,1457,-3.129999941214919,500,10.537,-0.5
2026-04-09T14:59:04,4,1763,-4.0499999318271875,306,7.024,-1.0
2026-04-09T14:59:04,5,2025,-0.7300000060349703,262,5.967,-1.0
2026-04-09T14:59:04,6,2525,0.10999998636543751,500,12.082,-0.5
2026-04-09T14:59:04,7,3025,-5.149999896064401,500,11.879,-0.5
2026-04-09T14:59:04,8,3408,-3.5199999436736107,383,8.649,-1.0
2026-04-09T14:59:04,9,3791,0.4399999678134918,383,8.612,-1.0
2026-04-09T14:59:04,10,4114,-2.81999995931983,323,8.284,-1.0
2026-04-09T14:59:04,11,4589,-5.739999894052744,475,11.016,-1.0
2026-04-09T14:59:04,12,4731,2.1099999751895666,142,3.319,1.0
2026-04-09T14:59:04,13,5231,-3.989999921992421,500,11.871,-0.5
2026-04-09T14:59:04,14,5232,1.0,1,0.027,1.0
2026-04-09T14:59:04,15,5732,-2.7899999488145113,500,12.505,-0.5
2026-04-09T14:59:04,16,6232,-5.10999989695847,500,12.431,-0.5
2026-04-09T14:59:04,17,6700,-4.94999991171062,468,11.939,-1.0
2026-04-09T14:59:04,18,6789,1.839999981224537,89,2.264,1.0
2026-04-09T14:59:04,19,7107,-1.3699999917298555,318,8.105,-1.0
2026-04-09T14:59:04,20,7479,-4.5299999210983515,372,10.427,-1.0
2026-04-09T14:59:04,21,7554,1.719999983906746,75,2.875,1.0
2026-04-09T14:59:04,22,8054,-3.2699999380856752,500,13.003,-0.5
2026-04-09T14:59:04,23,8554,0.10999998636543751,500,13.52,-0.5
2026-04-09T14:59:04,24,8712,2.5499999653548002,158,4.666,1.0
2026-04-09T14:59:04,25,9212,-1.649999974295497,500,12.28,-0.5
2026-04-09T14:59:04,26,9712,1.7299999501556158,500,13.215,-0.5
2026-04-09T14:59:04,27,10060,-3.4099999461323023,348,7.679,-1.0
2026-04-09T14:59:04,28,10383,4.199999928474426,323,7.578,1.0
2026-04-09T14:59:04,29,10883,4.389999890699983,500,11.27,-0.5
2026-04-09T14:59:04,30,11383,-0.9499999899417162,500,12.209,-0.5
2026-04-09T14:59:04,31,11542,2.5199999660253525,159,4.11,1.0
2026-04-09T14:59:04,32,12042,-2.6699999514967203,500,10.944,-0.5
2026-04-09T14:59:04,33,12392,-1.8299999814480543,350,7.658,-1.0
2026-04-09T14:59:04,34,12506,2.1099999751895666,114,2.699,1.0
2026-04-09T14:59:04,35,13006,-1.3699999805539846,500,9.845,-0.5
2026-04-09T14:59:04,36,13236,-1.0299999993294477,230,5.004,-1.0
2026-04-09T14:59:04,37,13736,-5.329999892041087,500,10.676,-0.5
2026-04-09T14:59:04,38,13892,2.4699999671429396,156,3.484,1.0
2026-04-09T14:59:04,39,14392,-0.929999990388751,500,12.03,-0.5
2026-04-09T14:59:04,40,14892,-4.929999900981784,500,11.909,-0.5
2026-04-09T14:59:04,41,15357,-4.539999920874834,465,11.313,-1.0
2026-04-09T14:59:04,42,15640,-2.2999999709427357,283,6.607,-1.0
2026-04-09T14:59:04,43,16140,0.9299999680370092,500,12.885,-0.5
