run_started_at,episode,total_steps,episode_reward,duration_steps,elapsed_seconds,terminal_reward
2026-04-09T16:26:58,72,27574,-2.834999947808683,500,10.021,-0.5
2026-04-09T16:26:58,73,27969,-1.239999994635582,395,7.918,-1.0
2026-04-09T16:26:58,74,28179,1.894999979995191,210,4.219,1.0
2026-04-09T16:26:58,75,28392,-1.30999999307096,213,4.279,-1.0
2026-04-09T16:26:58,76,28702,-2.184999973513186,310,6.219,-1.0
2026-04-09T16:26:58,77,29004,-2.2949999710544944,302,6.061,-1.0
2026-04-09T16:26:58,78,29221,-2.0599999763071537,217,4.359,-1.0
2026-04-09T16:43:18,1,120,2.169999973848462,120,2.411,1.0
2026-04-09T16:43:18,2,620,0.7299999725073576,500,10.021,-0.5
2026-04-09T16:43:18,3,1120,1.3499999586492777,500,10.018,-0.5
2026-04-09T16:43:18,4,1620,-5.4899998884648085,500,10.02,-0.5
2026-04-09T16:43:18,5,1832,3.0899999532848597,212,4.258,1.0
2026-04-09T16:43:18,6,2332,-0.6099999975413084,500,10.019,-0.5
2026-04-09T16:43:18,7,2832,-3.0299999434500933,500,10.019,-0.5
2026-04-09T16:43:18,8,3099,-2.6599999628961086,267,5.359,-1.0
2026-04-09T16:43:18,9,3410,1.199999950826168,311,6.24,-1.0
2026-04-09T16:43:18,10,3868,-3.969999933615327,458,9.178,-1.0
2026-04-09T16:43:18,11,4288,-3.5299999434500933,420,8.42,-1.0
2026-04-09T16:43:18,12,4722,-0.69000000692904,434,8.699,-1.0
2026-04-09T16:43:18,13,5222,2.6699999291449785,500,10.856,-0.5
2026-04-09T16:43:18,14,5223,1.0,1,0.033,1.0
2026-04-09T16:43:18,15,5723,-1.6299999747425318,500,11.997,-0.5
2026-04-09T16:43:18,16,6194,3.659999940544367,471,12.266,1.0
2026-04-09T16:43:18,17,6694,-0.2900000046938658,500,13.161,-0.5
2026-04-09T16:43:18,18,7194,-1.169999985024333,500,12.735,-0.5
2026-04-09T16:43:18,19,7515,-2.719999961555004,321,8.158,-1.0
2026-04-09T16:43:18,20,7800,3.819999936968088,285,7.4,1.0
2026-04-09T16:43:18,21,8300,-4.869999902322888,500,13.166,-0.5
2026-04-09T16:43:18,22,8641,-3.679999940097332,341,9.007,-1.0
2026-04-09T16:43:18,23,8983,-1.429999990388751,342,8.825,-1.0
2026-04-09T16:43:18,24,9483,-4.789999904111028,500,13.613,-0.5
2026-04-09T16:43:18,25,9983,0.9499999675899744,500,13.623,-0.5
2026-04-09T16:43:18,26,10483,-3.609999930486083,500,14.018,-0.5
2026-04-09T16:43:18,27,10805,4.189999928697944,322,8.476,1.0
2026-04-09T16:43:18,28,10977,2.6899999622255564,172,4.655,1.0
2026-04-09T16:43:18,29,11325,4.269999926909804,348,9.673,1.0
2026-04-09T16:43:18,30,11801,-4.789999915286899,476,13.484,-1.0
2026-04-09T16:43:18,31,12128,-4.119999930262566,327,9.1,-1.0
2026-04-09T16:43:18,32,12343,3.059999953955412,215,6.228,1.0
2026-04-09T16:43:18,33,12485,2.389999968931079,142,4.059,1.0
2026-04-09T16:43:18,34,12646,2.339999970048666,161,4.636,1.0
2026-04-09T16:43:18,35,13061,3.679999940097332,415,12.629,1.0
2026-04-09T16:43:18,36,13561,-2.62999995239079,500,15.205,-0.5
2026-04-09T16:43:18,37,13705,2.409999968484044,144,3.996,1.0
2026-04-09T16:43:18,38,14082,-4.759999915957451,377,11.105,-1.0
2026-04-09T16:43:18,39,14507,0.21999997273087502,425,9.601,-1.0
2026-04-09T16:43:18,40,14584,1.739999983459711,77,1.56,1.0
2026-04-09T16:43:18,41,14646,1.5899999868124723,62,1.259,1.0
2026-04-09T16:43:18,42,14804,2.3499999698251486,158,3.179,1.0
2026-04-09T16:43:18,43,15228,-1.789999982342124,424,8.5,-1.0
2026-04-09T16:43:18,44,15728,-2.509999955072999,500,10.018,-0.5
2026-04-09T16:43:18,45,16213,-0.8200000040233135,485,9.721,-1.0
2026-04-09T16:43:18,46,16465,1.6099999863654375,252,5.058,1.0
2026-04-09T16:43:18,47,16653,2.8499999586492777,188,3.778,1.0
2026-04-09T16:43:18,48,17153,-4.549999909475446,500,11.266,-0.5
2026-04-09T16:43:18,49,17504,-3.699999939650297,351,7.952,-1.0
2026-04-09T16:43:18,50,17844,-1.2099999953061342,340,8.648,-1.0
2026-04-09T16:43:18,51,18294,-5.169999906793237,450,11.676,-1.0
2026-04-09T16:43:18,52,18790,-4.5299999210983515,496,12.053,-1.0
2026-04-09T16:43:18,53,18981,-0.8000000044703484,191,4.16,-1.0
2026-04-09T16:43:18,54,19404,-1.839999981224537,423,8.708,-1.0
2026-04-09T16:43:18,55,19834,-0.9100000020116568,430,8.518,-1.0
2026-04-09T16:43:18,56,20334,-5.089999897405505,500,10.47,-0.5
2026-04-09T16:43:18,57,20534,2.9699999559670687,200,4.011,1.0
2026-04-09T16:43:18,58,20863,4.179999928921461,329,6.616,1.0
2026-04-09T16:43:18,59,21153,3.6899999398738146,290,5.793,1.0
2026-04-09T16:43:18,60,21653,-3.129999941214919,500,10.03,-0.5
2026-04-09T16:43:18,61,22153,1.4699999559670687,500,10.092,-0.5
2026-04-09T16:43:18,62,22328,2.1399999745190144,175,3.881,1.0
2026-04-09T16:43:18,63,22762,-4.929999912157655,434,8.421,-1.0
2026-04-09T16:43:18,64,23262,-3.1899999398738146,500,10.365,-0.5
2026-04-09T16:43:18,65,23762,-1.409999979659915,500,9.874,-0.5
2026-04-09T16:43:18,66,23959,2.939999956637621,197,4.307,1.0
2026-04-09T16:43:18,67,24077,2.149999974295497,118,2.546,1.0
2026-04-09T16:43:18,68,24230,2.4999999664723873,153,3.291,1.0
2026-04-09T16:43:18,69,24730,-5.469999888911843,500,9.909,-0.5
2026-04-09T16:43:18,70,24837,2.0399999767541885,107,2.157,1.0
2026-04-09T16:43:18,71,25040,2.9999999552965164,203,4.113,1.0
2026-04-09T16:43:18,72,25156,2.1299999747425318,116,2.305,1.0
2026-04-09T16:43:18,73,25442,-1.2099999953061342,286,5.739,-1.0
2026-04-09T16:43:18,74,25541,1.9599999785423279,99,2.428,1.0
2026-04-09T16:43:18,75,26041,-2.3499999586492777,500,10.59,-0.5
2026-04-09T16:43:18,76,26345,3.989999933168292,304,6.092,1.0
2026-04-09T16:43:18,77,26769,-1.4499999899417162,424,8.887,-1.0
2026-04-09T16:43:18,78,26843,1.7099999841302633,74,1.677,1.0
2026-04-09T16:43:18,79,26944,1.979999978095293,101,2.189,1.0
2026-04-09T16:43:18,80,26987,1.3999999910593033,43,1.056,1.0
2026-04-09T16:43:18,81,27386,0.8799999579787254,399,11.439,-1.0
2026-04-09T16:43:18,82,27605,0.25999997183680534,219,5.399,-1.0
2026-04-09T16:43:18,83,27690,1.8199999816715717,85,2.089,1.0
2026-04-09T16:43:18,84,27747,1.5399999879300594,57,0.934,1.0
2026-04-09T16:43:18,85,27748,1.0,1,0.016,1.0
2026-04-09T16:43:18,86,27924,2.7299999613314867,176,4.525,1.0
2026-04-09T16:43:18,87,28043,2.1599999740719795,119,3.182,1.0
2026-04-09T16:43:18,88,28201,2.5499999653548002,158,3.809,1.0
2026-04-09T16:43:18,89,28701,-0.80999999307096,500,10.443,-0.5
2026-04-09T16:43:18,90,28908,3.0399999544024467,207,4.56,1.0
2026-04-09T16:43:18,91,29068,2.5699999649077654,160,3.54,1.0
2026-04-09T16:43:18,92,29387,1.3799999468028545,319,7.107,-1.0
2026-04-09T16:43:18,93,29887,-2.289999959990382,500,9.902,-0.5
2026-04-09T16:43:18,94,30156,-0.12000001966953278,269,5.399,-1.0
2026-04-09T16:43:18,95,30656,-2.249999960884452,500,10.021,-0.5
2026-04-09T16:43:18,96,30924,3.609999941661954,268,5.379,1.0
2026-04-09T16:43:18,97,31185,3.579999942332506,261,5.24,1.0
2026-04-09T16:43:18,98,31466,3.779999937862158,281,5.637,1.0
2026-04-09T16:43:18,99,31727,0.7599999606609344,261,5.239,-1.0
2026-04-09T16:43:18,100,32005,-1.069999998435378,278,5.58,-1.0
2026-04-09T16:43:18,101,32113,2.049999976530671,108,2.179,1.0
2026-04-09T16:43:18,102,32408,3.919999934732914,295,5.918,1.0
2026-04-09T16:43:18,103,32538,2.269999971613288,130,2.619,1.0
2026-04-09T16:43:18,104,32968,-3.229999950155616,430,8.62,-1.0
2026-04-09T16:43:18,105,33315,-2.119999974966049,347,6.958,-1.0
2026-04-09T16:43:18,106,33387,1.6899999845772982,72,1.46,1.0
2026-04-09T16:43:18,107,33439,1.4899999890476465,52,1.079,1.0
2026-04-09T16:43:18,108,33740,-0.6200000084936619,301,6.02,-1.0
2026-04-09T16:43:18,109,34240,-5.4899998884648085,500,10.019,-0.5
2026-04-09T16:43:18,110,34332,1.8899999801069498,92,1.858,1.0
2026-04-09T16:43:18,111,34715,4.799999915063381,383,7.68,1.0
2026-04-09T16:43:18,112,34974,0.459999967366457,259,5.198,-1.0
2026-04-09T16:43:18,113,35180,0.3299999702721834,206,4.14,-1.0
2026-04-09T16:43:18,114,35652,5.689999895170331,472,9.459,1.0
2026-04-09T16:43:18,115,35825,2.699999962002039,173,3.479,1.0
2026-04-09T16:43:18,116,35920,1.7999999821186066,95,1.919,1.0
2026-04-09T16:43:18,117,36210,-0.7100000064820051,290,5.819,-1.0
2026-04-09T16:43:18,118,36229,1.1599999964237213,19,0.398,1.0
